Provider,model_risk_score,PotentialFraud,explanation,explanation_count
PRV51574,0.9995,1,"Provider submits 4,444 total claims, above the 90th percentile (228) — elevated billing volume",1
PRV51560,0.9991,1,"Avg reimbursement per claim ($8,219) is 23.1x the overall median ($356); Inpatient ratio (0.84) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Provider submits 238 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($9,589) is 17.7x median — may indicate unnecessary services",4
PRV51940,0.999,1,"Avg reimbursement per claim ($7,937) is 22.3x the overall median ($356); Inpatient ratio (0.77) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Provider submits 251 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($8,777) is 16.2x median — may indicate unnecessary services",4
PRV54765,0.999,1,"Avg reimbursement per claim ($8,370) is 23.5x the overall median ($356); Inpatient ratio (0.82) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Provider submits 239 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($9,855) is 18.2x median — may indicate unnecessary services",4
PRV53692,0.999,1,"Avg reimbursement per claim ($5,728) is 16.1x the overall median ($356); Inpatient ratio (0.60) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Provider submits 244 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($6,441) is 11.9x median — may indicate unnecessary services",4
PRV55462,0.999,1,"Avg reimbursement per claim ($2,472) is 6.9x the overall median ($356); Provider submits 1,907 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($4,168) is 7.7x median — may indicate unnecessary services",3
PRV54258,0.9989,1,"Avg reimbursement per claim ($5,114) is 14.4x the overall median ($356); Provider submits 238 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($5,938) is 11.0x median — may indicate unnecessary services",3
PRV51948,0.9989,1,"Avg reimbursement per claim ($2,951) is 8.3x the overall median ($356); Provider submits 515 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($4,153) is 7.7x median — may indicate unnecessary services",3
PRV52821,0.9989,1,"Avg reimbursement per claim ($2,557) is 7.2x the overall median ($356); Provider submits 713 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($4,097) is 7.6x median — may indicate unnecessary services",3
PRV55971,0.9989,1,"Avg reimbursement per claim ($1,955) is 5.5x the overall median ($356); Provider submits 620 total claims, above the 90th percentile (228) — elevated billing volume; Reimbursement per beneficiary ($3,503) is 6.5x median — may indicate unnecessary services",3
PRV52100,0.9988,1,"Avg reimbursement per claim ($7,628) is 21.4x the overall median ($356); Inpatient ratio (0.82) is above the 90th percentile (0.58) — unusually high share of costlier inpatient billing; Reimbursement per beneficiary ($8,662) is 16.0x median — may indicate unnecessary services",3
